Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Skin_Type,source_name,SRA Study
SRR8052708,RNA-Seq,252,5194688688,PRJNA496323,SAMN10238726,2834562622,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX4882333,GSM3427868,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427868,lesional,skin biopsy,SRP165679
SRR8052709,RNA-Seq,252,7075705140,PRJNA496323,SAMN10238725,3898618385,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX4882334,GSM3427869,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427869,non-lesional,skin biopsy,SRP165679
SRR8052710,RNA-Seq,252,10800906480,PRJNA496323,SAMN10238724,5939265791,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX4882335,GSM3427870,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427870,lesional,skin biopsy,SRP165679
SRR8052711,RNA-Seq,252,11042435628,PRJNA496323,SAMN10238723,6055909373,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4882336,GSM3427871,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427871,non-lesional,skin biopsy,SRP165679
SRR8052712,RNA-Seq,252,7521496164,PRJNA496323,SAMN10238722,3923512856,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX4882337,GSM3427872,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427872,lesional,skin biopsy,SRP165679
SRR8052713,RNA-Seq,252,8389728900,PRJNA496323,SAMN10238721,4396033964,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX4882338,GSM3427873,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427873,non-lesional,skin biopsy,SRP165679
SRR8052714,RNA-Seq,252,8329362048,PRJNA496323,SAMN10238720,4230547948,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX4882339,GSM3427874,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427874,lesional,skin biopsy,SRP165679
SRR8052715,RNA-Seq,252,6575478840,PRJNA496323,SAMN10238719,3649899375,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4882340,GSM3427875,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427875,non-lesional,skin biopsy,SRP165679
SRR8052716,RNA-Seq,252,8483714064,PRJNA496323,SAMN10238718,4900672698,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX4882341,GSM3427876,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427876,lesional,skin biopsy,SRP165679
SRR8052717,RNA-Seq,252,9675524376,PRJNA496323,SAMN10238717,5489075767,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX4882342,GSM3427877,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427877,non-lesional,skin biopsy,SRP165679
SRR8052718,RNA-Seq,252,8426202120,PRJNA496323,SAMN10238716,4558356895,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX4882343,GSM3427878,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427878,lesional,skin biopsy,SRP165679
SRR8052719,RNA-Seq,252,7470104292,PRJNA496323,SAMN10238715,4080418482,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX4882344,GSM3427879,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-01-23T00:00:00Z,GSM3427879,non-lesional,skin biopsy,SRP165679
